Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
50517;CPFL VENTOS DE SANTO DIMAS;60338;CPFL VENTOS DE SANTO DIMAS I5;14,555;16,079;10,467;14,685;18,155;20,402;21,669;22,180;22,945;20,666;18,477;15,598
50518;CPFL CAMPOS DOS VENTOS III;62354;CPFL CAMPOS DOS VENTOS III I5;11,389;11,089;9,491;9,391;10,889;12,887;14,485;15,984;16,483;15,464;14,703;13,586
50519;SAUDALI;59425;SAUDALI;0,027;;;;;;;;;;;
50551;BR ENERGIAS;59466;BR ENERGIAS;;;;;;;;1,000;;1,567;;
50551;BR ENERGIAS;64907;BR ENERGIAS I0;5,648;4,713;5,134;;;;;3,749;2,994;3,574;;
50551;BR ENERGIAS;64910;BR ENERGIAS I5;1,517;31,470;31,465;36,841;36,617;41,252;41,284;37,512;38,619;38,643;42,131;56,893
50553;IDEIAS VIDROS;59471;IDEIAS VIDROS;0,026;0,013;0,045;0,047;;;0,063;0,075;0,056;0,071;0,083;0,060
50556;MOINHO IPIRANGA;59477;MOINHO IPIRANGA;0,033;;;;;;;;;;;
50561;NB TEXTIL MATRIZ;59505;NB TEXTIL MATRIZ;0,019;;;;;;;;;;;
50570;CATACARAU;68746;CATACARAU I5;9,097;8,383;6,100;4,500;5,600;8,565;11,525;16,723;19,536;17,350;16,699;14,277
50571;MUFFATO;59570;MUFFATO S;1,340;1,337;1,196;0,833;0,880;0,875;0,995;0,995;0,972;1,042;1,038;1,005
50571;MUFFATO;59571;MUFFATO SE;0,560;0,446;0,551;0,625;0,464;0,514;0,618;0,444;0,444;0,450;0,459;0,630
50596;FOS-QUIMICA;59520;FOS-QUIMICA;;;;;;;;0,104;;;;
50602;BELLO ABATEDOURO;59526;BELLO ABATEDOURO;0,480;0,330;0,704;0,208;;;;0,179;0,114;;;
50611;HAVAN COMERCIALIZADORA;59492;HAVAN COMERCIALIZADORA;;;;;;0,903;;;;1,777;0,514;
50611;HAVAN COMERCIALIZADORA;60227;HAVAN COMERCIALIZADORA I5;10,250;9,141;9,078;8,866;8,045;7,471;12,888;12,977;14,775;8,793;9,068;9,166
50611;HAVAN COMERCIALIZADORA;86212;HAVAN COMERCIALIZADORA I0;;;;;;7,471;;;;;;
50612;CGH MARTINUV;83642;CGH MARTINUV I5;;;;1,722;1,595;1,465;1,298;1,178;1,172;1,035;0,970;1,436
50614;E M ENERGETICA;70084;E M ENERGETICA I5;3,490;3,550;3,512;3,390;3,271;3,234;3,192;3,259;3,330;3,353;3,403;3,461
50618;SUDPLY;59499;SUDPLY;;;;0,069;0,090;0,245;0,553;0,610;0,654;0,648;0,604;0,657
50618;SUDPLY;85836;SUDPLY LIVRE;;;;;;;;;;0,218;0,192;0,214
50624;VILLAGRES STAGTD;83503;VILLAGRES STAGTD CL 13360;;;;;;;;;;;0,097;1,641
50650;ADM BRASIL;87488;ADM BRASIL G SE;;;;;;;;;;2,327;1,600;1,600
50651;RENUS;59588;RENUS;0,108;0,066;0,065;0,103;0,090;0,139;0,124;0,127;0,120;0,113;0,113;0,209
50692;FLEXIBAG;59647;FLEXIBAG;;0,261;0,024;;;;;;;;;
50696;EOLICA OURO VERDE;59890;EOLICA OURO VERDE I5;12,800;12,800;12,800;12,800;12,800;12,800;12,800;12,800;12,800;12,800;13,107;13,107
50697;EOLICA CACIMBAS;59652;EOLICA CACIMBAS;;2,500;2,500;2,500;2,500;2,500;2,500;2,500;2,500;2,500;2,500;0,183
50697;EOLICA CACIMBAS;59921;EOLICA CACIMBAS I5;9,900;9,900;9,900;9,900;9,900;9,900;9,900;9,900;9,900;9,900;10,138;10,138
50698;EOLICA SANTA MONICA;59922;EOLICA SANTA MONICA I5;9,700;9,700;9,700;9,700;9,700;9,700;9,700;9,700;9,700;9,700;9,933;9,933
50701;FTG;59656;FTG;0,638;0,615;0,634;0,631;0,629;0,638;0,538;0,637;0,643;0,637;0,643;0,538
50704;BETTANIN;85502;BETTANIN CL 514;;;;;;;0,473;0,027;0,297;0,069;0,038;0,116
50705;SANDENE;59660;SANDENE;;;;;0,206;0,265;0,299;0,179;0,250;0,177;0,036;
50706;ATLAS;59661;ATLAS;;;;;;;0,284;0,009;0,153;0,036;0,019;0,058
50708;SANREMO;59663;SANREMO;;;;;;;0,339;0,017;0,118;0,043;0,025;0,077
50714;PLM MAT;59629;PLM MAT;;;;;;;;;0,108;;0,057;0,101
50715;EOLICA ESTRELA;59920;EOLICA ESTRELA I5;13,600;13,600;13,600;13,600;13,600;13,600;13,600;13,600;13,600;13,600;13,926;13,926
50734;CARTONALE;59669;CARTONALE;0,040;0,042;0,074;0,090;0,064;0,210;0,164;0,069;0,090;0,047;0,094;0,163
50736;MOVAL MAT;85722;MOVAL MAT CL 514;;;;;;;;;;;;0,144
50750;MAKRO ATACADISTA;59765;MAKRO ATACADISTA;;;;;;;;;11,191;1,882;1,558;1,411
50751;BAZZE;59767;BAZZE;0,200;0,192;0,230;0,238;0,218;0,252;0,243;0,249;0,271;0,221;0,217;0,283
50757;PLASC;59775;PLASC;;;0,341;;;;;;;;;
50760;ALFAGRES;59784;ALFAGRES;0,376;;;;;;;;;;;
50762;ACOFORJA;59787;ACOFORJA;;;;;;0,174;0,134;0,200;0,136;0,108;0,050;
50763;AGUA CLARA;75781;AGUA CLARA I5;;;;;;;;;;;29,188;18,490
