Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
50234;ALTO JAURU;59166;ALTO JAURU I1;20,081;18,317;19,948;19,172;19,921;19,162
50232;INDIAVAI;59167;INDIAVAI I1;24,072;24,461;24,644;24,099;22,854;22,137
50255;OMBREIRAS;59168;OMBREIRAS I5;22,291;22,263;22,405;21,882;20,675;19,953
8289;TOCANTINS ENER;59169;TOCANTINS ENER I5;9,424;9,255;9,522;9,562;9,532;9,474
2980;CGH FAXINAL DOS GUEDES;59171;CGH FAXINAL DOS GUEDES I5;2,210;2,210;2,210;2,210;2,210;2,210
3550;DA LUZ ENERGIA;59172;DA LUZ ENERGIA I5;0,950;0,950;0,950;0,950;0,950;0,950
1547;CGH CRISTALINO;59173;CGH CRISTALINO I5;2,690;2,690;2,690;2,690;2,690;2,690
3744;COOPERLUZ;59174;COOPERLUZ I5;4,110;4,110;4,110;4,110;4,110;4,110
50385;PCH MAFRAS;59175;PCH MAFRAS I5;3,030;3,030;3,030;3,030;3,030;3,030
5779;CGH NOVA FATIMA;59180;CGH NOVA FATIMA I5;2,712;2,794;2,779;2,666;2,216;1,999
1178;PCH FERRADURA;59181;PCH FERRADURA I1;5,360;5,360;5,360;5,360;5,360;5,360
2986;CERSAD GERADORA;59182;CERSAD GERADORA I5;2,940;2,940;2,940;2,940;2,940;2,706
50390;PROPAPER;59204;PROPAPER;0,074;0,068;0,067;0,075;0,073;0,072
50089;EMEWE;59209;EMEWE I5;5,000;5,328;5,298;6,032;5,296;6,087
50089;EMEWE;59211;EMEWE I1;0,233;0,245;0,249;0,220;0,214;0,207
16338;ATMO;59220;ATMO I0;0,080;;;58,433;48,866;76,069
16338;ATMO;59221;ATMO I1;13,141;13,449;18,517;12,648;17,532;12,104
16338;ATMO;59222;ATMO I5;167,277;171,872;159,967;158,627;181,866;101,845
17349;PCH DOIDO;59347;PCH DOIDO I5;6,000;6,000;6,000;6,000;5,098;4,720
15555;OT ENERGIA;59420;OT ENERGIA I5;0,693;0,707;0,707;0,611;0,694;0,663
50551;BR ENERGIAS;59466;BR ENERGIAS;16,000;25,300;16,300;16,300;16,300;16,300
2962;RAIZEN CS RIO BRILHANTE;59473;RAIZEN CS PASSA TEMPO I0;60,484;37,277;;;;
