Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
86911;PRIME MADEIRA;PRIME INDUSTRIA E COMERCIO DE MADEIRA EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;14,326;14,281;9,543
86911;PRIME MADEIRA;PRIME INDUSTRIA E COMERCIO DE MADEIRA EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;14,972;13,221;13,078
86911;PRIME MADEIRA;PRIME INDUSTRIA E COMERCIO DE MADEIRA EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;42,232;35,625;31,578
86916;FJN;FERRAMENTARIA JN LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;46,115
86916;FJN;FERRAMENTARIA JN LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;40,706
86916;FJN;FERRAMENTARIA JN LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;46,350
86921;POLYPETRO;POLYPETRO INDUSTRIA E COMERCIO DE PLASTICOS EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;34,793;23,224
86921;POLYPETRO;POLYPETRO INDUSTRIA E COMERCIO DE PLASTICOS EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;32,982;22,164
86921;POLYPETRO;POLYPETRO INDUSTRIA E COMERCIO DE PLASTICOS EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;40,511;28,915
86922;PEMALEX;PEMALEX INDUSTRIA E COMERCIO LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;22,086
86922;PEMALEX;PEMALEX INDUSTRIA E COMERCIO LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;24,008
86922;PEMALEX;PEMALEX INDUSTRIA E COMERCIO LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;37,627
86923;BROTO LEGAL EI S;BROTO LEGAL ALIMENTOS S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;61,248
86923;BROTO LEGAL EI S;BROTO LEGAL ALIMENTOS S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;37,898
86923;BROTO LEGAL EI S;BROTO LEGAL ALIMENTOS S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;42,383
86924;PITAGORAS IMPERATRIZ;CENTRO DE ENSINO ATENAS MARANHENSE LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;9,389;12,329;8,417
86924;PITAGORAS IMPERATRIZ;CENTRO DE ENSINO ATENAS MARANHENSE LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;17,502;23,154;12,126
86924;PITAGORAS IMPERATRIZ;CENTRO DE ENSINO ATENAS MARANHENSE LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;24,697;13,483;8,458
86925;ANHANGUERA E2;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;42,659;42,287;46,506
86925;ANHANGUERA E2;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,485;26,136;30,869
86925;ANHANGUERA E2;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;35,282;23,078;24,313
86929;SCHELL;SCHELL DISTRIBUIDORA DE RESINAS EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;47,064
86929;SCHELL;SCHELL DISTRIBUIDORA DE RESINAS EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;20,536
86929;SCHELL;SCHELL DISTRIBUIDORA DE RESINAS EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;32,519
86935;ESCOLA ELEVA;COLEGIO ELEVA EDUCACAO LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;31,900
86935;ESCOLA ELEVA;COLEGIO ELEVA EDUCACAO LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,203
86935;ESCOLA ELEVA;COLEGIO ELEVA EDUCACAO LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;48,281
86939;BANNACH;CURTUME BANNACH LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;22,104
86939;BANNACH;CURTUME BANNACH LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,984
86939;BANNACH;CURTUME BANNACH LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;30,746
86944;AGUA ATTIVA;HIDROMINERAL LA BANANAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;7,991;7,319;9,195
86944;AGUA ATTIVA;HIDROMINERAL LA BANANAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;9,825;10,539;10,501
86944;AGUA ATTIVA;HIDROMINERAL LA BANANAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;42,557;38,029;36,144
86948;PRUDENSHOPP CL 514;PRUDENSHOPPING S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;279,526
86948;PRUDENSHOPP CL 514;PRUDENSHOPPING S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;286,834
